state_name,county_name,census_tract_name,census_tract_geoid
Illinois,Kane County,Census Tract 8513.01,17089851301
Illinois,Kane County,Census Tract 8513.02,17089851302
Illinois,Kane County,Census Tract 8514,17089851400
Illinois,Kane County,Census Tract 8529.04,17089852904
Illinois,Kane County,Census Tract 8529.05,17089852905
Illinois,Kane County,Census Tract 8530.07,17089853007
Illinois,Kane County,Census Tract 8532,17089853200
Illinois,Kane County,Census Tract 8536,17089853600
Illinois,Kane County,Census Tract 8540.02,17089854002
Illinois,Kane County,Census Tract 8541,17089854100
Illinois,Kane County,Census Tract 8542,17089854200
Illinois,Kane County,Census Tract 8546,17089854600
Illinois,Kane County,Census Tract 8547,17089854700
Illinois,Kankakee County,Census Tract 110,17091011000
Illinois,Kankakee County,Census Tract 114,17091011400
Illinois,Kankakee County,Census Tract 115,17091011500
Illinois,Kankakee County,Census Tract 116,17091011600
Illinois,Kankakee County,Census Tract 117,17091011700
Illinois,Kankakee County,Census Tract 123,17091012300
Illinois,Kankakee County,Census Tract 124,17091012400
Illinois,Knox County,Census Tract 7,17095000700
Illinois,Knox County,Census Tract 9,17095000900
Illinois,Knox County,Census Tract 10,17095001000
Illinois,Knox County,Census Tract 11,17095001100
Illinois,Lake County,Census Tract 8602,17097860200
Illinois,Lake County,Census Tract 8603.01,17097860301
Illinois,Lake County,Census Tract 8603.02,17097860302
Illinois,Lake County,Census Tract 8605,17097860500
Illinois,Lake County,Census Tract 8620,17097862000
Illinois,Lake County,Census Tract 8621,17097862100
Illinois,Lake County,Census Tract 8622,17097862200
Illinois,Lake County,Census Tract 8623,17097862300
Illinois,Lake County,Census Tract 8624.01,17097862401
Illinois,Lake County,Census Tract 8625.02,17097862502
Illinois,Lake County,Census Tract 8626.05,17097862605
Illinois,Lake County,Census Tract 8627,17097862700
Illinois,Lake County,Census Tract 8628,17097862800
Illinois,Lake County,Census Tract 8629.01,17097862901
Illinois,Lake County,Census Tract 8629.02,17097862902
Illinois,Lake County,Census Tract 8631,17097863100
Illinois,Lake County,Census Tract 8632.01,17097863201
Illinois,Lake County,Census Tract 8661,17097866100
Illinois,LaSalle County,Census Tract 9626,17099962600
Illinois,LaSalle County,Census Tract 9633,17099963300
Illinois,LaSalle County,Census Tract 9642,17099964200
Illinois,LaSalle County,Census Tract 9643,17099964300
Illinois,Lee County,Census Tract 6,17103000600
Illinois,Livingston County,Census Tract 9605,17105960500
Illinois,Livingston County,Census Tract 9606,17105960600
